state_time,accelx,accely,accelz,gyrox,gyroy,gyroz,mot_ang,mot_vel,mot_acc,mot_cur,mot_volt,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,genvar_0,genvar_1,genvar_2,genvar_3,genvar_4,genvar_5,genvar_6,genvar_7,genvar_8,genvar_9,ank_ang,ank_vel,sys_time,event flags
412425,92,-362,-8286,-19,-46,45,327,-5,-2,0,0,181,-29,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412332,0
412435,62,-380,-8298,-12,-38,37,328,0,0,0,0,179,-22,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412351,0
412445,76,-402,-8306,-14,-36,43,328,-1,1,2,0,178,-34,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412354,0
412455,100,-362,-8308,-14,-35,35,327,-3,1,0,0,185,-32,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,412359,0
412465,74,-388,-8294,-18,-38,43,329,3,2,0,0,183,-10,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412361,0
412475,88,-386,-8288,-20,-38,43,328,-1,-4,0,0,182,-21,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412369,0
412485,72,-388,-8286,-16,-38,39,327,0,-3,-1,0,178,-34,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,412375,0
412495,88,-366,-8304,-15,-40,35,329,10,4,-4,0,176,-62,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,412389,0
412505,104,-394,-8272,-16,-38,42,328,9,0,4,0,178,-67,26,144,0,6,0,0,0,0,0,0,-32330,0,0,0,2935,0,412396,0
412515,74,-406,-8286,-16,-36,43,328,0,1,-4,0,179,-63,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412404,0
412525,98,-392,-8306,-17,-41,40,327,-5,-2,2,0,178,-65,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412421,0
412535,102,-398,-8350,-14,-43,42,327,0,2,2,0,182,-46,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412429,0
412545,110,-382,-8302,-17,-43,41,328,-4,-4,-4,0,182,-22,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412433,0
412555,76,-374,-8290,-18,-43,39,328,3,3,3,0,187,-38,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2934,0,412443,0
412565,76,-376,-8312,-15,-41,35,327,0,-1,-2,0,183,-34,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412458,0
412575,82,-382,-8306,-18,-42,36,329,5,-2,2,0,182,-69,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412463,0
412585,84,-374,-8296,-16,-33,40,327,3,3,0,0,179,-68,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412479,0
412595,78,-384,-8306,-20,-32,39,328,5,-2,-2,0,179,-59,26,144,0,6,0,0,0,0,0,0,-32328,0,0,0,2935,0,412486,0
412605,78,-370,-8320,-22,-47,45,328,-1,0,1,0,173,-59,26,144,0,6,0,0,0,0,0,0,-32329,0,0,0,2935,0,412495,0
